image,grey,hour,taken_on_short,period,machine_label,source,final_label
0/20160929/79ddade2485edbde/cds-79ddade2485edbde-20160929-2242.raw/3/dr5rsp7n1kgr-dr5rsp7n1t60-cds-79ddade2485edbde-20160929-2242-74.jpg,11.54,22,2016-09-29 22:48:00,evening,night,machine,night
0/20161105/1ccda49b184cb0ef/cds-1ccda49b184cb0ef-20161105-1539.raw/3/dr5rsp3ymj78-dr5rsp3yk5bc-cds-1ccda49b184cb0ef-20161105-1539-1.jpg,12.16,15,2016-11-05 15:39:00,afternoon,night,manual,day
0/20161105/1ccda49b184cb0ef/cds-1ccda49b184cb0ef-20161105-1609.raw/3/dr5rsp3ym3ch-dr5rsp3yk0j3-cds-1ccda49b184cb0ef-20161105-1609-1.jpg,12.3,16,2016-11-05 16:09:00,afternoon,night,machine,night
0/20161024/7c641b4cb6bb1253/cds-7c641b4cb6bb1253-20161024-1031.raw/3/dr5rspm8dz20-dr5rspjrq2re-cds-7c641b4cb6bb1253-20161024-1031-1.jpg,12.69,10,2016-10-24 10:31:00,morning,night,manual,day
0/20160908/b6d8aab376c7ce54/cds-b6d8aab376c7ce54-20160908-0956.raw/4/dr5rsn7q1xwb-dr5rsn7q32wk-cds-b6d8aab376c7ce54-20160908-0956-1.jpg,12.98,9,2016-09-08 09:56:00,morning,night,machine,night
0/20170125/1ccda49b184cb0ef/cds-1ccda49b184cb0ef-20170125-0917.raw/3/dr5rsn7r44mf-dr5rsn7h3nqr-cds-1ccda49b184cb0ef-20170125-0917-1.jpg,13.17,9,2017-01-25 09:18:00,morning,night,machine,night
0/20161206/e7f28d53fd3ba67c/cds-e7f28d53fd3ba67c-20161206-0822.raw/4/dr5rspk5u125-dr5rspk5ez7f-cds-e7f28d53fd3ba67c-20161206-0822-1.jpg,13.58,14,2016-12-06 14:22:00,afternoon,night,manual,day
0/20160930/e08eacf5f70d94e7/cds-e08eacf5f70d94e7-20160930-1705.raw/4/dr5rsp6qs2dx-dr5rspd24sqy-cds-e08eacf5f70d94e7-20160930-1705-1.jpg,13.75,17,2016-09-30 17:05:00,afternoon,night,machine,night
0/20160919/5c44399458a254ea/cds-5c44399458a254ea-20160919-1528.raw/4/dr5rspkckymv-dr5rspkchjwq-cds-5c44399458a254ea-20160919-1528-1.jpg,13.92,15,2016-09-19 15:28:00,afternoon,night,manual,day
0/20170125/1ccda49b184cb0ef/cds-1ccda49b184cb0ef-20170125-0927.raw/3/dr5rsn7r51v2-dr5rsn7h3gt2-cds-1ccda49b184cb0ef-20170125-0927-1.jpg,14.18,9,2017-01-25 09:28:00,morning,night,machine,night
0/20160919/5c44399458a254ea/cds-5c44399458a254ea-20160919-1533.raw/4/dr5rspkcn5xg-dr5rspkbvzyj-cds-5c44399458a254ea-20160919-1533-1.jpg,14.32,15,2016-09-19 15:33:00,afternoon,night,manual,day
0/20160930/33f01c9134eaa6b5/cds-33f01c9134eaa6b5-20160930-1608.raw/4/dr5rsp6s9sk5-dr5rsp6s99rv-cds-33f01c9134eaa6b5-20160930-1608-1.jpg,14.44,16,2016-09-30 16:08:00,afternoon,night,machine,night
0/20161027/6fef7e6f017c3f89/cds-6fef7e6f017c3f89-20161027-0906.raw/3/dr5rspjrnd49-dr5rspjrpn8v-cds-6fef7e6f017c3f89-20161027-0906-1.jpg,14.45,9,2016-10-27 09:07:00,morning,night,machine,night
0/20160919/5c44399458a254ea/cds-5c44399458a254ea-20160919-1534.raw/4/dr5rspkcn6c2-dr5rspkbyp91-cds-5c44399458a254ea-20160919-1534-1.jpg,14.48,15,2016-09-19 15:35:00,afternoon,night,manual,day
0/20170125/1ccda49b184cb0ef/cds-1ccda49b184cb0ef-20170125-0937.raw/3/dr5rsn7qdvhn-dr5rsn7h68t2-cds-1ccda49b184cb0ef-20170125-0937-1.jpg,14.87,9,2017-01-25 09:38:00,morning,night,machine,night
0/20161105/1ccda49b184cb0ef/cds-1ccda49b184cb0ef-20161105-1529.raw/3/dr5rsp3ykvpv-dr5rsp3yk5bc-cds-1ccda49b184cb0ef-20161105-1529-1.jpg,15.31,15,2016-11-05 15:29:00,afternoon,night,manual,day
0/20160929/79ddade2485edbde/cds-79ddade2485edbde-20160929-2242.raw/3/dr5rsp7bcte0-dr5rsp7b2q2s-cds-79ddade2485edbde-20160929-2242-93.jpg,15.34,22,2016-09-29 22:48:00,evening,night,machine,night
0/20161127/e08eacf5f70d94e7/cds-e08eacf5f70d94e7-20161127-1536.raw/4/dr5rsn9dq0wm-dr5rsn99vjck-cds-e08eacf5f70d94e7-20161127-1536-1.jpg,15.53,15,2016-11-27 15:37:00,afternoon,night,manual,day
0/20161002/8b82a42e5a149e22/cds-8b82a42e5a149e22-20161002-1624.raw/3/dr5rsn6y8e1d-dr5rsn6tvfze-cds-8b82a42e5a149e22-20161002-1624-1.jpg,15.66,16,2016-10-02 16:24:00,afternoon,night,machine,night
0/20160929/bd209a4b83760d6b/cds-bd209a4b83760d6b-20160929-2242.raw/4/dr5rsphpnbcp-dr5rsphnyw7p-cds-bd209a4b83760d6b-20160929-2242-95.jpg,16.16,22,2016-09-29 22:48:00,evening,night,machine,night
0/20160919/5c44399458a254ea/cds-5c44399458a254ea-20160919-1508.raw/4/dr5rspm0fhmn-dr5rspm09knj-cds-5c44399458a254ea-20160919-1508-1.jpg,16.29,15,2016-09-19 15:08:00,afternoon,night,manual,day
0/20160919/5c44399458a254ea/cds-5c44399458a254ea-20160919-0904.raw/4/dr5rsp36cr1z-dr5rsp3714r0-cds-5c44399458a254ea-20160919-0904-1.jpg,16.32,9,2016-09-19 09:04:00,morning,night,machine,night
0/20161110/fdeb4f0c0eb1bc3c/cds-fdeb4f0c0eb1bc3c-20161110-0840.raw/3/dr5rspqwgke9-dr5rspqwgfsq-cds-fdeb4f0c0eb1bc3c-20161110-0840-1.jpg,16.44,8,2016-11-10 08:40:00,morning,night,machine,night
0/20161005/79ddade2485edbde/cds-79ddade2485edbde-20161005-0819.raw/3/dr5rsnfw4s3u-dr5rsnftcd27-cds-79ddade2485edbde-20161005-0819-1.jpg,16.46,8,2016-10-05 08:19:00,morning,night,machine,night
0/20161105/1ccda49b184cb0ef/cds-1ccda49b184cb0ef-20161105-1549.raw/3/dr5rsp3ymhfm-dr5rsp3yk53t-cds-1ccda49b184cb0ef-20161105-1549-1.jpg,16.67,15,2016-11-05 15:49:00,afternoon,night,manual,day
0/20161007/774e09b0c084a069/cds-774e09b0c084a069-20161007-0929.raw/4/dr5rsp177ffx-dr5rsp16qj5f-cds-774e09b0c084a069-20161007-0929-1.jpg,16.74,9,2016-10-07 09:29:00,morning,night,machine,night
0/20170125/1ccda49b184cb0ef/cds-1ccda49b184cb0ef-20170125-1016.raw/3/dr5rsn7q15t1-dr5rsn7h6b1h-cds-1ccda49b184cb0ef-20170125-1016-1.jpg,17.22,10,2017-01-25 10:17:00,morning,night,manual,day
0/20160911/6fef7e6f017c3f89/cds-6fef7e6f017c3f89-20160911-2000.raw/3/dr5rsn1wzr08-dr5rsn1wzqm6-cds-6fef7e6f017c3f89-20160911-2000-17.jpg,17.57,20,2016-09-11 20:01:00,evening,night,machine,night
0/20170207/5c44399458a254ea/cds-5c44399458a254ea-20170207-1045.raw/4/dr5rsp11pvm8-dr5rsp11wx9k-cds-5c44399458a254ea-20170207-1045-1.jpg,18.12,10,2017-02-07 10:45:00,morning,night,manual,day
0/20160929/79ddade2485edbde/cds-79ddade2485edbde-20160929-2242.raw/3/dr5rsp76jfg7-dr5rsp73stjj-cds-79ddade2485edbde-20160929-2242-86.jpg,18.64,22,2016-09-29 22:48:00,evening,night,machine,night
0/20160930/8b82a42e5a149e22/cds-8b82a42e5a149e22-20160930-1705.raw/3/dr5rsp6pqmv7-dr5rsp6pvyu7-cds-8b82a42e5a149e22-20160930-1705-1.jpg,18.83,17,2016-09-30 17:05:00,afternoon,night,machine,night
0/20160919/7c641b4cb6bb1253/cds-7c641b4cb6bb1253-20160919-0914.raw/3/dr5rsp3ewpbj-dr5rsp3ew1pq-cds-7c641b4cb6bb1253-20160919-0914-1.jpg,19.31,9,2016-09-19 09:14:00,morning,night,machine,night
0/20161211/bd209a4b83760d6b/cds-bd209a4b83760d6b-20161211-1405.raw/4/dr5rsn4x5udj-dr5rsn4x6567-cds-bd209a4b83760d6b-20161211-1405-1.jpg,19.44,14,2016-12-11 14:06:00,afternoon,night,manual,day
0/20160907/bd209a4b83760d6b/cds-bd209a4b83760d6b-20160907-0846.raw/4/dr5rsncw6fdd-dr5rsncwd3c7-cds-bd209a4b83760d6b-20160907-0846-1.jpg,19.67,8,2016-09-07 08:46:00,morning,night,machine,night
0/20161002/e08eacf5f70d94e7/cds-e08eacf5f70d94e7-20161002-1624.raw/4/dr5rsn6t59pk-dr5rsn6ty3k7-cds-e08eacf5f70d94e7-20161002-1624-1.jpg,20.01,16,2016-10-02 16:24:00,afternoon,night,machine,night
0/20160930/33f01c9134eaa6b5/cds-33f01c9134eaa6b5-20160930-1553.raw/4/dr5rsp6ktgq9-dr5rsp6kqhvy-cds-33f01c9134eaa6b5-20160930-1553-1.jpg,20.09,15,2016-09-30 15:53:00,afternoon,night,manual,day
0/20160919/7c641b4cb6bb1253/cds-7c641b4cb6bb1253-20160919-1206.raw/3/dr5rsnd1gsht-dr5rsnd1gs5r-cds-7c641b4cb6bb1253-20160919-1206-1.jpg,20.37,12,2016-09-19 12:06:00,morning,night,manual,day
0/20161129/79ddade2485edbde/cds-79ddade2485edbde-20161129-1128.raw/3/dr5rsnc088d0-dr5rsnbbrh16-cds-79ddade2485edbde-20161129-1128-1.jpg,21.03,11,2016-11-29 11:28:00,morning,night,manual,day
0/20161005/79ddade2485edbde/cds-79ddade2485edbde-20161005-0829.raw/3/dr5rsnfw0tv4-dr5rsnftbpfq-cds-79ddade2485edbde-20161005-0829-1.jpg,21.25,8,2016-10-05 08:29:00,morning,night,machine,night
0/20160929/79ddade2485edbde/cds-79ddade2485edbde-20160929-2242.raw/3/dr5rsnzfwb57-dr5rsnzfqeb4-cds-79ddade2485edbde-20160929-2242-157.jpg,21.26,22,2016-09-29 22:51:00,evening,night,machine,night
0/20161114/19919ff6db95782d/cds-19919ff6db95782d-20161114-1037.raw/4/dr5rsnz8j0zg-dr5rsnz887m4-cds-19919ff6db95782d-20161114-1037-1.jpg,21.46,10,2016-11-14 10:37:00,morning,night,manual,day
0/20161028/79ddade2485edbde/cds-79ddade2485edbde-20161028-0927.raw/3/dr5rsp7g4u0t-dr5rsp7uq60v-cds-79ddade2485edbde-20161028-0927-1.jpg,21.47,9,2016-10-28 09:27:00,morning,night,machine,night
0/20160825/bd209a4b83760d6b/cds-bd209a4b83760d6b-20160825-1016.raw/4/dr5rsnd4tbuv-dr5rsnd4tc4g-cds-bd209a4b83760d6b-20160825-1016-1.jpg,21.81,10,2016-08-25 10:16:00,morning,night,manual,day
0/20160930/e08eacf5f70d94e7/cds-e08eacf5f70d94e7-20160930-0851.raw/4/dr5rspp2w9re-dr5rspp2w8jg-cds-e08eacf5f70d94e7-20160930-0851-1.jpg,22.25,8,2016-09-30 08:51:00,morning,night,machine,night
0/20161105/e5df139233770dec/cds-e5df139233770dec-20161105-1603.raw/4/dr5rsp3yjmen-dr5rsp3yhk1u-cds-e5df139233770dec-20161105-1603-1.jpg,22.33,16,2016-11-05 16:03:00,afternoon,night,machine,night
0/20161111/1ccda49b184cb0ef/cds-1ccda49b184cb0ef-20161111-0843.raw/3/dr5rsndkzds7-dr5rsndmn0pk-cds-1ccda49b184cb0ef-20161111-0843-1.jpg,22.82,8,2016-11-11 08:43:00,morning,night,machine,night
0/20160929/79ddade2485edbde/cds-79ddade2485edbde-20160929-2242.raw/3/dr5rsp7nc01k-dr5rsp7n8qw7-cds-79ddade2485edbde-20160929-2242-73.jpg,22.86,22,2016-09-29 22:48:00,evening,night,machine,night
0/20160929/79ddade2485edbde/cds-79ddade2485edbde-20160929-2242.raw/3/dr5rsphtezj9-dr5rsphtedf7-cds-79ddade2485edbde-20160929-2242-103.jpg,23.06,22,2016-09-29 22:49:00,evening,night,machine,night
0/20160919/5c44399458a254ea/cds-5c44399458a254ea-20160919-1206.raw/4/dr5rsnd31jxd-dr5rsnd1ge9v-cds-5c44399458a254ea-20160919-1206-1.jpg,23.88,12,2016-09-19 12:06:00,morning,night,manual,day
0/20160929/79ddade2485edbde/cds-79ddade2485edbde-20160929-2242.raw/3/dr5rspj5y61z-dr5rspj5tugz-cds-79ddade2485edbde-20160929-2242-115.jpg,23.89,22,2016-09-29 22:49:00,evening,night,machine,night
0/20160929/e08eacf5f70d94e7/cds-e08eacf5f70d94e7-20160929-1457.raw/4/dr5rspqnrdzq-dr5rspqjy1ww-cds-e08eacf5f70d94e7-20160929-1457-1.jpg,24.09,14,2016-09-29 14:57:00,afternoon,night,manual,day
0/20160929/79ddade2485edbde/cds-79ddade2485edbde-20160929-2242.raw/3/dr5rsnzhyb42-dr5rsnzhz461-cds-79ddade2485edbde-20160929-2242-146.jpg,24.32,22,2016-09-29 22:50:00,evening,night,machine,night
0/20161002/e08eacf5f70d94e7/cds-e08eacf5f70d94e7-20161002-1634.raw/4/dr5rsn6thub6-dr5rsn6twz6r-cds-e08eacf5f70d94e7-20161002-1634-1.jpg,24.5,16,2016-10-02 16:34:00,afternoon,night,machine,night
0/20160919/5c44399458a254ea/cds-5c44399458a254ea-20160919-0914.raw/4/dr5rsp3eu6um-dr5rsp3ekxx8-cds-5c44399458a254ea-20160919-0914-1.jpg,24.93,9,2016-09-19 09:14:00,morning,night,machine,night
0/20161202/7c641b4cb6bb1253/cds-7c641b4cb6bb1253-20161202-1412.raw/3/dr5rsn6w5tsf-dr5rsn6w5s65-cds-7c641b4cb6bb1253-20161202-1412-85.jpg,24.96,14,2016-12-02 14:17:00,afternoon,night,manual,day
0/20161102/b6d8aab376c7ce54/cds-b6d8aab376c7ce54-20161102-0832.raw/4/dr5rspp454ed-dr5rspp1f3dw-cds-b6d8aab376c7ce54-20161102-0832-1.jpg,25.29,8,2016-11-02 08:32:00,morning,night,machine,night
0/20160929/79ddade2485edbde/cds-79ddade2485edbde-20160929-2242.raw/3/dr5rspj5z93q-dr5rspj5wce5-cds-79ddade2485edbde-20160929-2242-116.jpg,25.33,22,2016-09-29 22:49:00,evening,night,machine,night
0/20170117/5c44399458a254ea/cds-5c44399458a254ea-20170117-0850.raw/4/dr5rsppkye5y-dr5rsppkyywc-cds-5c44399458a254ea-20170117-0850-1.jpg,25.36,8,2017-01-17 08:51:00,morning,night,machine,night
0/20160628/bd209a4b83760d6b/cds-bd209a4b83760d6b-20160628-0949.raw/4/dr5rsp10eknr-dr5rsp113f0w-cds-bd209a4b83760d6b-20160628-0949-1.jpg,25.47,9,2016-06-28 09:49:00,morning,night,machine,night
0/20161130/7c641b4cb6bb1253/cds-7c641b4cb6bb1253-20161130-1329.raw/3/dr5rsn6qsp21-dr5rsn6quyg6-cds-7c641b4cb6bb1253-20161130-1329-1.jpg,25.63,13,2016-11-30 13:30:00,afternoon,night,manual,day
0/20161002/5c44399458a254ea/cds-5c44399458a254ea-20161002-1623.raw/4/dr5rsn6vrum3-dr5rsn6uy4f3-cds-5c44399458a254ea-20161002-1623-1.jpg,25.65,16,2016-10-02 16:23:00,afternoon,night,machine,night
0/20160919/63fa6a79d3217a87/cds-63fa6a79d3217a87-20160919-1247.raw/3/dr5rsp7vpjju-dr5rsp7umn5d-cds-63fa6a79d3217a87-20160919-1247-1.jpg,25.65,12,2016-09-19 12:47:00,morning,night,manual,day
0/20161116/e5df139233770dec/cds-e5df139233770dec-20161116-1609.raw/4/dr5rsppzd83v-dr5rsprbh712-cds-e5df139233770dec-20161116-1609-1.jpg,25.78,16,2016-11-16 16:10:00,afternoon,night,machine,night
0/20161002/7c641b4cb6bb1253/cds-7c641b4cb6bb1253-20161002-1623.raw/3/dr5rsn6uu2d3-dr5rsn6uvncs-cds-7c641b4cb6bb1253-20161002-1623-1.jpg,25.98,16,2016-10-02 16:23:00,afternoon,night,machine,night
0/20170118/7c641b4cb6bb1253/cds-7c641b4cb6bb1253-20170118-1406.raw/3/dr5rsp7v79fh-dr5rsp7w2wks-cds-7c641b4cb6bb1253-20170118-1406-1.jpg,26.06,14,2017-01-18 14:06:00,afternoon,night,manual,day
0/20161005/bd209a4b83760d6b/cds-bd209a4b83760d6b-20161005-0816.raw/4/dr5rsnfw8z9n-dr5rsnfqnucz-cds-bd209a4b83760d6b-20161005-0816-1.jpg,26.13,8,2016-10-05 08:16:00,morning,night,machine,night
0/20170115/5c44399458a254ea/cds-5c44399458a254ea-20170115-0801.raw/4/dr5rsncv6754-dr5rsncuvzjk-cds-5c44399458a254ea-20170115-0801-111.jpg,26.17,8,2017-01-15 08:07:00,morning,night,manual,day
0/20161002/8b82a42e5a149e22/cds-8b82a42e5a149e22-20161002-1634.raw/3/dr5rsn6tzt0p-dr5rsn6twzk9-cds-8b82a42e5a149e22-20161002-1634-1.jpg,26.63,16,2016-10-02 16:34:00,afternoon,night,machine,night
0/20160911/6fef7e6f017c3f89/cds-6fef7e6f017c3f89-20160911-2000.raw/3/dr5rsn1tk8f4-dr5rsn1t6xtz-cds-6fef7e6f017c3f89-20160911-2000-15.jpg,26.82,20,2016-09-11 20:01:00,evening,night,machine,night
0/20160929/79ddade2485edbde/cds-79ddade2485edbde-20160929-2242.raw/3/dr5rsp79bnbd-dr5rsp73qweh-cds-79ddade2485edbde-20160929-2242-88.jpg,26.97,22,2016-09-29 22:48:00,evening,night,machine,night
0/20160929/79ddade2485edbde/cds-79ddade2485edbde-20160929-2242.raw/3/dr5rspjj0h2p-dr5rsphuqp72-cds-79ddade2485edbde-20160929-2242-107.jpg,27.37,22,2016-09-29 22:49:00,evening,night,machine,night
0/20161218/19919ff6db95782d/cds-19919ff6db95782d-20161218-1224.raw/4/dr5rsnfjmuz8-dr5rsnfjbwqc-cds-19919ff6db95782d-20161218-1224-1.jpg,27.63,12,2016-12-18 12:24:00,morning,night,manual,day
0/20161107/b6d8aab376c7ce54/cds-b6d8aab376c7ce54-20161107-1603.raw/4/dr5rsns2m5wq-dr5rsns2cbx5-cds-b6d8aab376c7ce54-20161107-1603-1.jpg,27.71,16,2016-11-07 16:03:00,afternoon,night,machine,night
0/20161105/e5df139233770dec/cds-e5df139233770dec-20161105-1543.raw/4/dr5rsp3yhq97-dr5rsp3yhnrs-cds-e5df139233770dec-20161105-1543-1.jpg,28.16,15,2016-11-05 15:43:00,afternoon,night,manual,day
0/20161105/e5df139233770dec/cds-e5df139233770dec-20161105-1533.raw/4/dr5rsp3yh9g6-dr5rsp3yh3kg-cds-e5df139233770dec-20161105-1533-1.jpg,28.19,15,2016-11-05 15:33:00,afternoon,night,manual,day
0/20160709/79ddade2485edbde/cds-79ddade2485edbde-20160709-0814.raw/3/dr5rsp14uxmy-dr5rsp11zd2j-cds-79ddade2485edbde-20160709-0814-1.jpg,28.49,8,2016-07-09 08:14:00,morning,night,machine,night
0/20160930/8b82a42e5a149e22/cds-8b82a42e5a149e22-20160930-0852.raw/3/dr5rsppk8u0s-dr5rsppk8sr1-cds-8b82a42e5a149e22-20160930-0852-1.jpg,28.55,8,2016-09-30 08:52:00,morning,night,machine,night
0/20161107/e08eacf5f70d94e7/cds-e08eacf5f70d94e7-20161107-0754.raw/4/dr5rspq7ctr1-dr5rspq7fcn0-cds-e08eacf5f70d94e7-20161107-0754-1.jpg,28.62,7,2016-11-07 07:54:00,morning,night,machine,night
0/20160701/fef3036e3fbdf4ec/cds-fef3036e3fbdf4ec-20160701-1621.raw/4/dr5rsn9bg4w2-dr5rsn9ch12h-cds-fef3036e3fbdf4ec-20160701-1621-1.jpg,28.75,16,2016-07-01 16:21:00,afternoon,night,machine,night
0/20160929/79ddade2485edbde/cds-79ddade2485edbde-20160929-2242.raw/3/dr5rsphvmd7h-dr5rsphueygh-cds-79ddade2485edbde-20160929-2242-106.jpg,28.78,22,2016-09-29 22:49:00,evening,night,machine,night
0/20161028/bd209a4b83760d6b/cds-bd209a4b83760d6b-20161028-0927.raw/4/dr5rsp7v48zf-dr5rsp7uf026-cds-bd209a4b83760d6b-20161028-0927-1.jpg,28.79,9,2016-10-28 09:27:00,morning,night,manual,day
0/20160929/79ddade2485edbde/cds-79ddade2485edbde-20160929-2242.raw/3/dr5rsp7jd46p-dr5rsp7jd6yx-cds-79ddade2485edbde-20160929-2242-75.jpg,28.8,22,2016-09-29 22:48:00,evening,night,machine,night
0/20161110/a32b6ec5cde27e3a/cds-a32b6ec5cde27e3a-20161110-0838.raw/3/dr5rsp7x2171-dr5rsp7x43se-cds-a32b6ec5cde27e3a-20161110-0838-13.jpg,28.84,8,2016-11-10 08:39:00,morning,night,manual,day
0/20160929/bd209a4b83760d6b/cds-bd209a4b83760d6b-20160929-2242.raw/4/dr5rsp78frdr-dr5rsp794986-cds-bd209a4b83760d6b-20160929-2242-86.jpg,29.06,22,2016-09-29 22:48:00,evening,night,machine,night
0/20160929/bd209a4b83760d6b/cds-bd209a4b83760d6b-20160929-2242.raw/4/dr5rsp6yrg5h-dr5rsp7n3jc4-cds-bd209a4b83760d6b-20160929-2242-70.jpg,29.3,22,2016-09-29 22:48:00,evening,night,machine,night
0/20161107/e08eacf5f70d94e7/cds-e08eacf5f70d94e7-20161107-0811.raw/4/dr5rspq78pk0-dr5rspq7d0k8-cds-e08eacf5f70d94e7-20161107-0811-1.jpg,29.46,8,2016-11-07 08:11:00,morning,night,machine,night
0/20170207/5c44399458a254ea/cds-5c44399458a254ea-20170207-1035.raw/4/dr5rsp11pcs2-dr5rsp11wqbs-cds-5c44399458a254ea-20170207-1035-1.jpg,29.56,10,2017-02-07 10:35:00,morning,night,manual,day
0/20160911/ea91d096e3932939/cds-ea91d096e3932939-20160911-1953.raw/4/dr5rsn4m9c76-dr5rsn4md426-cds-ea91d096e3932939-20160911-1953-76.jpg,29.72,20,2016-09-11 20:02:00,evening,night,machine,night
